-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 05:42:46 | Step: 12600 | Train Loss: 0.3838
Time: 2025-06-14 05:43:08 | Step: 12650 | Train Loss: 0.3812
Time: 2025-06-14 05:43:31 | Step: 12700 | Train Loss: 0.3595
Time: 2025-06-14 05:43:53 | Step: 12750 | Train Loss: 0.3637
Time: 2025-06-14 05:44:16 | Step: 12800 | Train Loss: 0.3067
Time: 2025-06-14 05:44:38 | Step: 12850 | Train Loss: 0.2960
Time: 2025-06-14 05:45:01 | Step: 12900 | Train Loss: 0.4053
Time: 2025-06-14 05:45:23 | Step: 12950 | Train Loss: 0.3692
Time: 2025-06-14 05:45:46 | Step: 13000 | Train Loss: 0.3396
Time: 2025-06-14 05:46:08 | Step: 13050 | Train Loss: 0.2633
Time: 2025-06-14 05:46:31 | Step: 13100 | Train Loss: 0.3515
Time: 2025-06-14 05:46:53 | Step: 13150 | Train Loss: 0.3418
Time: 2025-06-14 05:47:16 | Step: 13200 | Train Loss: 0.3431
Time: 2025-06-14 05:47:38 | Step: 13250 | Train Loss: 0.2896
-------------------------
Time: 2025-06-14 05:48:48 | *** Validation Epoch 5 End ***
  - Val Loss: 0.3503
  - Val Acc:  0.8365
  - Val F1:   0.8253
-------------------------
Time: 2025-06-14 05:49:15 | Step: 13300 | Train Loss: 0.3479
Time: 2025-06-14 05:49:38 | Step: 13350 | Train Loss: 0.3415
Time: 2025-06-14 05:50:00 | Step: 13400 | Train Loss: 0.3883
Time: 2025-06-14 05:50:23 | Step: 13450 | Train Loss: 0.3519
Time: 2025-06-14 05:50:45 | Step: 13500 | Train Loss: 0.4269
Time: 2025-06-14 05:51:08 | Step: 13550 | Train Loss: 0.3167
Time: 2025-06-14 05:51:30 | Step: 13600 | Train Loss: 0.4256
Time: 2025-06-14 05:51:53 | Step: 13650 | Train Loss: 0.3510
Time: 2025-06-14 05:52:15 | Step: 13700 | Train Loss: 0.2843
Time: 2025-06-14 05:52:38 | Step: 13750 | Train Loss: 0.2908
Time: 2025-06-14 05:53:00 | Step: 13800 | Train Loss: 0.4041
Time: 2025-06-14 05:53:23 | Step: 13850 | Train Loss: 0.3809
Time: 2025-06-14 05:53:45 | Step: 13900 | Train Loss: 0.3289
