global_step	epoch	step_in_epoch	timestamp	loss
43250	14	1977	2025-06-15 10:19:27	0.0428
43300	14	2027	2025-06-15 10:19:57	0.0673
43350	14	2077	2025-06-15 10:20:27	0.0215
43400	14	2127	2025-06-15 10:20:57	0.0670
43450	14	2177	2025-06-15 10:21:27	0.0360
43500	14	2227	2025-06-15 10:21:57	0.0489
43550	14	2277	2025-06-15 10:22:28	0.0431
43600	14	2327	2025-06-15 10:22:58	0.0266
43650	14	2377	2025-06-15 10:23:28	0.1153
43700	14	2427	2025-06-15 10:23:58	0.0317
43750	14	2477	2025-06-15 10:24:28	0.0663
43800	14	2527	2025-06-15 10:24:58	0.0416
43850	14	2577	2025-06-15 10:25:29	0.0230
43900	14	2627	2025-06-15 10:25:59	0.0333
43950	14	2677	2025-06-15 10:26:29	0.0511
44000	14	2727	2025-06-15 10:26:59	0.0266
44050	14	2777	2025-06-15 10:27:29	0.0245
44100	14	2827	2025-06-15 10:27:59	0.0429
44150	14	2877	2025-06-15 10:28:30	0.0610
44200	14	2927	2025-06-15 10:29:00	0.0579
44250	15	29	2025-06-15 10:31:19	0.0188
44300	15	79	2025-06-15 10:31:49	0.0243
44350	15	129	2025-06-15 10:32:19	0.0524
44400	15	179	2025-06-15 10:32:50	0.0349
44450	15	229	2025-06-15 10:33:20	0.0289
44500	15	279	2025-06-15 10:33:50	0.0602
44550	15	329	2025-06-15 10:34:20	0.0718
44600	15	379	2025-06-15 10:34:50	0.0420
44650	15	429	2025-06-15 10:35:20	0.0453
44700	15	479	2025-06-15 10:35:51	0.0200
44750	15	529	2025-06-15 10:36:21	0.0214
44800	15	579	2025-06-15 10:36:51	0.0504
44850	15	629	2025-06-15 10:37:21	0.0421
44900	15	679	2025-06-15 10:37:51	0.0460
44950	15	729	2025-06-15 10:38:21	0.0333
45000	15	779	2025-06-15 10:38:51	0.0392
45050	15	829	2025-06-15 10:39:22	0.0607
45100	15	879	2025-06-15 10:39:52	0.0401
45150	15	929	2025-06-15 10:40:22	0.0416
45200	15	979	2025-06-15 10:40:52	0.0410
45250	15	1029	2025-06-15 10:41:22	0.0427
45300	15	1079	2025-06-15 10:41:52	0.0477
45350	15	1129	2025-06-15 10:42:22	0.0528
45400	15	1179	2025-06-15 10:42:53	0.0458
45450	15	1229	2025-06-15 10:43:23	0.0425
45500	15	1279	2025-06-15 10:43:53	0.0212
45550	15	1329	2025-06-15 10:44:23	0.0282
45600	15	1379	2025-06-15 10:44:53	0.0525
45650	15	1429	2025-06-15 10:45:23	0.0290
45700	15	1479	2025-06-15 10:45:53	0.0216
45750	15	1529	2025-06-15 10:46:24	0.0284
45800	15	1579	2025-06-15 10:46:54	0.0441
45850	15	1629	2025-06-15 10:47:24	0.0240
45900	15	1679	2025-06-15 10:47:54	0.0327
45950	15	1729	2025-06-15 10:48:24	0.0400
46000	15	1779	2025-06-15 10:48:54	0.0331
46050	15	1829	2025-06-15 10:49:24	0.0173
46100	15	1879	2025-06-15 10:49:55	0.0578
46150	15	1929	2025-06-15 10:50:25	0.0663
46200	15	1979	2025-06-15 10:50:55	0.0518
46250	15	2029	2025-06-15 10:51:25	0.0328
46300	15	2079	2025-06-15 10:51:55	0.0779
46350	15	2129	2025-06-15 10:52:25	0.0228
46400	15	2179	2025-06-15 10:52:55	0.1041
46450	15	2229	2025-06-15 10:53:26	0.0255
46500	15	2279	2025-06-15 10:53:56	0.0912
46550	15	2329	2025-06-15 10:54:26	0.0258
46600	15	2379	2025-06-15 10:54:56	0.0375
46650	15	2429	2025-06-15 10:55:26	0.0387
46700	15	2479	2025-06-15 10:55:56	0.0265
46750	15	2529	2025-06-15 10:56:26	0.0356
46800	15	2579	2025-06-15 10:56:57	0.0723
46850	15	2629	2025-06-15 10:57:27	0.0537
46900	15	2679	2025-06-15 10:57:57	0.0368
